央视,#genre#
CCTV2,http://[2409:8087:4402:20:1:1216:401:17]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226466/index.m3u8
CCTV2,http://[2409:8087:4402:20:1:1216:401:2f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
CCTV3,http://[2409:8087:4402:20:1:1216:401:36]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226308/index.m3u8
CCTV3,http://[2409:8087:4402:20:1:1216:401:2f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226614/index.m3u8
CCTV3,http://[2409:8087:4402:20:1:1216:401:14]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226461/index.m3u8
CCTV4,http://[2409:8087:4402:20:1:1216:401:36]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226303/index.m3u8
CCTV4,http://[2409:8087:4402:20:1:1216:401:14]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226656/index.m3u8
CCTV4,http://[2409:8087:4400:20:1:70f:1011:1d]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226468/index.m3u8
CCTV5,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226305/index.m3u8
CCTV5,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226635/index.m3u8
CCTV5,http://[2409:8087:4400:20:1:70f:1011:1c]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226487/index.m3u8
CCTV5+,http://[2409:8087:4402:20:1:1216:401:12]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226609/index.m3u8
CCTV5+,http://[2409:8087:4400:20:1:a0f:12:f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
CCTV6,http://[2409:8087:4402:20:1:1216:401:36]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226637/index.m3u8
CCTV6,http://[2409:8087:4400:20:1:70f:1011:1a]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226485/index.m3u8
CCTV7,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226678/index.m3u8
CCTV7,http://[2409:8087:4400:20:1:70f:1011:15]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226486/index.m3u8
CCTV8,http://[2409:8087:4402:20:1:1216:401:41]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8
CCTV8,http://[2409:8087:4400:20:1:70f:1011:1c]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226484/index.m3u8
CCTV9,http://[2409:8087:4402:20:1:1216:401:3a]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8
CCTV9,http://[2409:8087:4400:20:1:a0f:12:f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226482/index.m3u8
CCTV10,http://[2409:8087:4400:20:1:a0f:12:f]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226483/index.m3u8
CCTV10,http://[2409:8087:4402:20:1:1216:401:39]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8
CCTV12,http://[2409:8087:4402:20:1:1216:401:17]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226479/index.m3u8
CCTV12,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8
CCTV13,http://[2409:8087:4400:20:1:70f:1011:1c]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
CCTV13,http://[2409:8087:4402:20:1:1216:401:38]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CCTV14,http://[2409:8087:4400:20:1:70f:1011:1d]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226475/index.m3u8
CCTV16,http://[2409:8087:4402:20:1:1216:401:46]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226597/index.m3u8
CCTV16,http://[2409:8087:4402:20:1:1216:401:2c]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
CCTV17,http://[2409:8087:4402:20:1:1216:401:15]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV17,http://[2409:8087:4402:20:1:1216:401:13]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226630/index.m3u8

卫视,#genre#
东方卫视,http://39.134.24.24/PLTV/88888888/224/3221225676/index.m3u8
东方卫视,http://39.134.24.24/PLTV/88888888/224/3221225835/index.m3u8
北京卫视,http://39.134.24.24/PLTV/88888888/224/3221225833/index.m3u8
北京卫视,http://39.134.24.24/PLTV/88888888/224/3221225724/index.m3u8
安徽卫视,http://39.134.24.24/PLTV/88888888/224/3221225847/index.m3u8
山东卫视,http://39.134.24.24/PLTV/88888888/224/3221225841/index.m3u8
广东卫视,http://39.134.24.24/PLTV/88888888/224/3221225680/index.m3u8
江苏卫视,http://39.134.24.24/PLTV/88888888/224/3221225602/index.m3u8
浙江卫视,http://39.134.24.24/PLTV/88888888/224/3221225664/index.m3u8
浙江卫视,http://39.134.24.24/PLTV/88888888/224/3221225845/index.m3u8
深圳卫视,http://39.134.24.24/PLTV/88888888/224/3221225843/index.m3u8
深圳卫视,http://39.134.24.24/PLTV/88888888/224/3221225764/index.m3u8
湖北卫视,http://39.134.24.24/PLTV/88888888/224/3221225863/index.m3u8
湖南卫视,http://39.134.24.24/PLTV/88888888/224/3221225694/index.m3u8
湖南卫视,http://39.134.24.24/PLTV/88888888/224/3221225837/index.m3u8
辽宁卫视,http://39.134.24.24/PLTV/88888888/224/3221225861/index.m3u8
黑龙江卫视,http://39.134.24.24/PLTV/88888888/224/3221225690/index.m3u8
云南卫视,https://hwapi.yunshicloud.com/8xughf/e0bx15.m3u8

东南卫视,http://39.134.24.24/PLTV/88888888/224/3221225722/index.m3u8
东方卫视,http://39.134.24.24/PLTV/88888888/224/3221225622/index.m3u8
东方卫视,http://39.134.24.24/PLTV/88888888/224/3221225976/index.m3u8
云南卫视,http://39.134.24.24/PLTV/88888888/224/3221225696/index.m3u8
内蒙古卫视,http://39.134.24.24/PLTV/88888888/224/3221225626/index.m3u8
北京卫视,http://39.134.24.24/PLTV/88888888/224/3221225646/index.m3u8
北京卫视,http://39.134.24.24/PLTV/88888888/224/3221225735/index.m3u8
吉林卫视,http://39.134.24.24/PLTV/88888888/224/3221225804/index.m3u8
天津卫视,http://39.134.24.24/PLTV/88888888/224/3221225670/index.m3u8
宁夏卫视,http://39.134.24.24/PLTV/88888888/224/3221225730/index.m3u8
安徽卫视,http://39.134.24.24/PLTV/88888888/224/3221225638/index.m3u8
山东卫视,http://39.134.24.24/PLTV/88888888/224/3221225796/index.m3u8
山西卫视,http://39.134.24.24/PLTV/88888888/224/3221225738/index.m3u8
广东卫视,http://39.134.24.24/PLTV/88888888/224/3221225692/index.m3u8
广西卫视,http://39.134.24.24/PLTV/88888888/224/3221225594/index.m3u8
新疆卫视,http://39.134.24.24/PLTV/88888888/224/3221225790/index.m3u8
江苏卫视,http://39.134.24.24/PLTV/88888888/224/3221225734/index.m3u8
江西卫视,http://39.134.24.24/PLTV/88888888/224/3221225682/index.m3u8
河北卫视,http://39.134.24.24/PLTV/88888888/224/3221225744/index.m3u8
河南卫视,http://39.134.24.24/PLTV/88888888/224/3221225716/index.m3u8
浙江卫视,http://39.134.24.24/PLTV/88888888/224/3221225642/index.m3u8
海南卫视,http://39.134.24.24/PLTV/88888888/224/3221225614/index.m3u8
深圳卫视,http://39.134.24.24/PLTV/88888888/224/3221225590/index.m3u8
湖北卫视,http://39.134.24.24/PLTV/88888888/224/3221225674/index.m3u8
湖南卫视,http://39.134.24.24/PLTV/88888888/224/3221225616/index.m3u8
甘肃卫视,http://39.134.24.24/PLTV/88888888/224/3221225714/index.m3u8
贵州卫视,http://39.134.24.24/PLTV/88888888/224/3221225610/index.m3u8
辽宁卫视,http://39.134.24.24/PLTV/88888888/224/3221225726/index.m3u8
重庆卫视,http://39.134.24.24/PLTV/88888888/224/3221225592/index.m3u8
青海卫视,http://39.134.24.24/PLTV/88888888/224/3221225606/index.m3u8
新疆兵团卫视,http://39.134.24.24/PLTV/88888888/224/3221225869/index.m3u8



中国教育,#genre#
中国教育1,http://39.134.24.24/PLTV/88888888/224/3221225706/index.m3u8
中国教育2,http://39.134.24.24/PLTV/88888888/224/3221225710/index.m3u8
中国教育4,http://39.134.24.24/PLTV/88888888/224/3221225873/index.m3u8

四川,#genre#
四川卫视,http://[2409:8087:4402:20:1:1216:401:11]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8
四川卫视,http://39.134.24.24/PLTV/88888888/224/3221225704/index.m3u8


陕西,#genre#
陕西影视,http://39.134.24.24/PLTV/88888888/224/3221225997/index.m3u8
陕西农林卫视,http://39.134.24.24/PLTV/88888888/224/3221225877/index.m3u8
陕西西部电影,http://39.134.24.24/PLTV/88888888/224/3221225993/index.m3u8
陕西都市青春,http://39.134.24.24/PLTV/88888888/224/3221225999/index.m3u8
汉中1,http://111.20.105.60:6060/yinhe/2/ch00000090990000001438/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
汉中1,http://111.20.105.60:6060/yinhe/2/ch00000090990000001497/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
汉中2,http://111.20.105.60:6060/yinhe/2/ch00000090990000001262/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
汉中2,http://111.20.105.60:6060/yinhe/2/ch00000090990000001439/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

少儿,#genre#
CCTV14,http://39.134.24.24/PLTV/88888888/224/3221225857/index.m3u8
湖南金鹰卡通,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226246/index.m3u8?fmt=ts2hls
北京卡酷少儿,http://39.134.24.24/PLTV/88888888/224/3221225598/index.m3u8
江苏优漫卡通,http://39.134.24.24/PLTV/88888888/224/3221225698/index.m3u8
湖南金鹰卡通,http://39.134.24.24/PLTV/88888888/224/3221225750/index.m3u8
上海哈哈炫动,http://39.134.24.24/PLTV/88888888/224/3221225867/index.m3u8




